representation_id,representation_name,n_decisions,k,R_k,MAE_days,MAE_baseline_days,MAE_reduction_vs_baseline_pct,global_variance,mean_local_variance
legalbr,LegalBR,1942,3,0.5958657369821371,125.12547202197048,122.01390319258496,-2.5501756340621906,28978.077077948456,17267.04325437693
legalbr,LegalBR,1942,5,0.7003257013165807,117.15777548918642,122.01390319258496,3.9799789829964682,28978.077077948456,20294.092152420188
legalbr,LegalBR,1942,10,0.8233998606969486,113.24866117404737,122.01390319258496,7.183805934560317,28978.077077948456,23860.544629248197
legalbr,LegalBR,1942,20,0.8872130584429269,111.04291967044283,122.01390319258496,8.991584758030147,28978.077077948456,25709.728392121524
legalbr,LegalBR,1942,30,0.9096000693992257,110.65499485066941,122.01390319258496,9.309519689724876,28978.077077948456,26358.460921158025
legalbr,LegalBR,1942,50,0.9461335780856892,111.55222451081359,122.01390319258496,8.574169343028737,28978.077077948456,27417.131751802262
legalbr,LegalBR,1942,70,0.9524755599231466,112.14626305723114,122.01390319258496,8.087307984712922,28978.077077948456,27600.910190315055
legalbr,LegalBR,1942,100,0.9709958332931802,112.56162203913492,122.01390319258496,7.746888597220513,28978.077077948456,28137.59209953656
legalbr,LegalBR,1942,120,0.9775988215100523,113.11784243048403,122.01390319258496,7.291022194462149,28978.077077948456,28328.934001029866
legalbr,LegalBR,1942,150,0.9861339817860062,113.86100926879506,122.01390319258496,6.681938459850345,28978.077077948456,28576.266533379105
e5_base,E5 Base,1942,3,0.6634011597777805,133.3005492619293,122.01390319258496,-9.250295068037984,28978.077077948456,19224.08994164092
e5_base,E5 Base,1942,5,0.8232831477637277,128.8467559217302,122.01390319258496,-5.600060772058368,28978.077077948456,23857.162512873325
e5_base,E5 Base,1942,10,0.9794848392292852,121.08578784757981,122.01390319258496,0.7606635971150189,28978.077077948456,28383.587167868176
e5_base,E5 Base,1942,20,1.078482325692506,119.79276519052524,122.01390319258496,1.8203974661427758,28978.077077948456,31252.34396112255
e5_base,E5 Base,1942,30,1.1044456601465147,118.00024030209407,122.01390319258496,3.2895127403274604,28978.077077948456,32004.71146813136
e5_base,E5 Base,1942,50,1.1262689762375382,117.73127703398558,122.01390319258496,3.509949314415217,28978.077077948456,32637.109203913493
e5_base,E5 Base,1942,70,1.1333066269537102,117.57724731499192,122.01390319258496,3.6361887961163686,28978.077077948456,32841.04678881439
e5_base,E5 Base,1942,100,1.1333018569377702,118.30406797116375,122.01390319258496,3.040502044726545,28978.077077948456,32840.90856292482
e5_base,E5 Base,1942,120,1.1321544281223164,118.71705286646069,122.01390319258496,2.7020284081237578,28978.077077948456,32807.658282269134
e5_base,E5 Base,1942,150,1.1301700839403859,119.22675935461722,122.01390319258496,2.284283811139587,28978.077077948456,32750.155803615973
minilm,MiniLM,1942,3,0.6834211238434236,131.9759697905939,122.01390319258496,-8.164697905192785,28978.077077948456,19804.23000343289
