Representation,R@5,MAE@5,R@10,MAE@10,R@20,MAE@20
LegalBR,0.7003257013165807,117.15777548918642,0.8233998606969486,113.24866117404737,0.8872130584429269,111.04291967044283
E5 Base,0.8232831477637277,128.8467559217302,0.9794848392292852,121.08578784757981,1.078482325692506,119.79276519052524
MiniLM,0.8299636381451214,125.77723995880535,0.9386243090423487,119.44402677651905,1.0337370361752318,117.30100411946447
BERT Large PT,0.6763298405380292,118.5801235839341,0.7880330250709107,115.34974253347066,0.8608982477690945,113.75700308959834
Qwen3,0.7925379893055194,119.36158599382081,0.9101892770454991,115.03398558187438,0.9942055967341951,113.05561277033985
BGE-M3,0.6956244037825712,115.1178166838311,0.810032335336843,111.24145211122556,0.8760976266646374,109.41995365602472
TF-IDF,0.6056961479166165,117.18352214212152,0.7586628435063931,113.55751802265705,0.8921230942024929,112.42502574665292
